frequency,intensity,lower_state,upper_state
-36.169350134431085,8.269654319112064e-08,"(7, 27, 1)","(6, 28, 0)"
-36.16871220712787,1.2658500122511502e-07,"(3, 24, 0)","(0, 24, 1)"
-36.12244838969906,6.250498923847719e-06,"(5, 30, 2)","(3, 30, 3)"
-36.11592380676305,0.0008828220977410761,"(8, 24, 0)","(7, 23, 1)"
-36.11592380675933,0.0008828220977412474,"(7, 24, 3)","(7, 23, 2)"
-36.073748505578976,7.63493209116252e-08,"(7, 26, 1)","(5, 27, 0)"
-36.07372970958346,7.634933374209857e-08,"(7, 26, 2)","(6, 27, 3)"
-36.02920172462366,5.14483953978283e-08,"(6, 14, 2)","(4, 14, 3)"
-36.02920172001146,5.144839539854302e-08,"(6, 14, 1)","(5, 14, 0)"
-36.0235176217312,0.0006734599756290816,"(7, 27, 3)","(6, 26, 2)"
-36.02351731648625,0.000673459977506589,"(6, 27, 0)","(6, 26, 1)"
-36.0180006911782,4.14238231479693e-07,"(1, 28, 3)","(0, 28, 2)"
-36.01618581744796,4.1426009514844817e-07,"(1, 28, 1)","(0, 28, 0)"
-35.99938177047264,2.155216412573998e-06,"(4, 27, 2)","(2, 27, 3)"
-35.99174788474855,6.839094406653906e-08,"(7, 25, 2)","(5, 26, 3)"
-35.99174050350774,6.839094850891538e-08,"(7, 25, 1)","(6, 26, 0)"
-35.99042503779644,3.2050091976658666e-06,"(3, 20, 3)","(1, 19, 2)"
-35.92410814162844,5.9211052307687236e-08,"(7, 24, 1)","(5, 25, 0)"
-35.92410537154163,5.921105373052487e-08,"(7, 24, 2)","(6, 25, 3)"
-35.923632196789725,3.7744364947259643e-06,"(3, 21, 1)","(1, 20, 0)"
-35.871487107822446,4.930422902728056e-08,"(7, 23, 2)","(5, 24, 3)"
-35.871486118527855,4.930422944536176e-08,"(7, 23, 1)","(6, 24, 0)"
-35.836720894365556,0.0010469931663835228,"(8, 22, 2)","(8, 21, 3)"
-35.83672089436541,0.0010469931663834946,"(8, 22, 1)","(7, 21, 0)"
-35.80032752743881,2.5943555194167e-07,"(4, 21, 1)","(1, 21, 0)"
-35.79739136873093,2.9484656635048558e-05,"(4, 24, 2)","(3, 23, 3)"
-35.794121873840766,2.088595217584476e-05,"(11, 23, 3)","(10, 23, 2)"
-35.794121873840254,2.0885952175846813e-05,"(10, 23, 0)","(10, 23, 1)"
-35.7685261273906,2.590540972196171e-06,"(5, 22, 3)","(4, 22, 2)"
-35.76681999345601,2.5906149942899802e-06,"(6, 22, 0)","(4, 22, 1)"
-35.76028451845002,1.1596369648426303e-07,"(3, 22, 2)","(0, 22, 3)"
-35.728184503537136,1.8086903545435424e-05,"(1, 27, 1)","(0, 26, 0)"
-35.728033774650584,1.808697895840178e-05,"(1, 27, 3)","(0, 26, 2)"
-35.711851123803186,1.752006256864422e-07,"(4, 16, 0)","(1, 15, 1)"
-35.70212539623219,0.00010421629291081048,"(3, 29, 3)","(2, 28, 2)"
-35.69257928829052,0.0011821260830549441,"(9, 20, 0)","(8, 19, 1)"
-35.69257928829052,0.0011821260830549738,"(8, 20, 3)","(8, 19, 2)"
-35.689689687355354,9.66257900669459e-05,"(2, 28, 3)","(1, 27, 2)"
-35.665063514684874,3.6382817047873516e-07,"(2, 20, 2)","(0, 19, 3)"
-35.65825750112445,1.2403849379389455e-06,"(5, 14, 1)","(3, 13, 0)"
-35.65825330851652,1.2403850347411794e-06,"(5, 14, 2)","(4, 13, 3)"
-35.65514532991273,5.004653033529437e-05,"(9, 29, 0)","(9, 29, 1)"
-35.655145329912614,5.0046530335292495e-05,"(10, 29, 3)","(9, 29, 2)"
-35.63910095016418,2.270094080333991e-05,"(4, 22, 1)","(2, 21, 0)"
-35.61585161975391,1.9439028946477635e-05,"(3, 24, 1)","(1, 23, 0)"
-35.60947709751804,3.206461124235952e-05,"(4, 24, 0)","(2, 23, 1)"
-35.60536785958101,4.5147818625124705e-05,"(10, 26, 1)","(10, 26, 0)"
-35.60536785958101,4.514781862512331e-05,"(10, 26, 2)","(9, 26, 3)"
-35.58279289083562,6.776195935292514e-06,"(3, 23, 3)","(1, 22, 2)"
-35.579074108316206,0.0006204740818204245,"(6, 28, 1)","(5, 27, 0)"
-35.5790531057695,0.0006204742267819738,"(6, 28, 2)","(6, 27, 3)"
-35.5628224150918,6.625223939782003e-06,"(5, 29, 1)","(3, 29, 0)"
-35.549057035226554,7.690010313072942e-06,"(5, 18, 0)","(3, 17, 1)"
-35.5413868421078,7.691655573914486e-06,"(4, 18, 3)","(3, 17, 2)"
-35.524865914062644,0.0008760776587901948,"(7, 25, 2)","(6, 24, 3)"
-35.52486591327727,0.0008760776587954631,"(7, 25, 1)","(7, 24, 0)"
-35.43703093242149,0.00011113035829323975,"(3, 28, 3)","(2, 27, 2)"
-35.42828285562189,9.783883512683405e-05,"(2, 28, 1)","(1, 27, 0)"
-35.41545865330646,2.8324807917113874e-07,"(3, 22, 3)","(1, 22, 2)"
-35.359252078311584,0.00011877658213140047,"(3, 30, 1)","(2, 29, 0)"
-35.35378697152092,2.2717183505877223e-06,"(5, 21, 0)","(4, 21, 1)"
-35.35305043133698,2.2717455727152333e-06,"(6, 21, 3)","(4, 21, 2)"
-35.32266969386305,2.6806451419611402e-05,"(4, 23, 1)","(3, 22, 0)"
-35.28428313350855,1.2895257465974284e-05,"(11, 22, 0)","(10, 22, 1)"
-35.28428313350844,1.2895257465970306e-05,"(10, 22, 3)","(10, 22, 2)"
-35.283599935990594,4.7531950411255904e-05,"(1, 27, 0)","(0, 26, 1)"
-35.280292085663945,4.753679070306599e-05,"(1, 27, 2)","(0, 26, 3)"
-35.18675577846179,0.0005488536118657669,"(6, 29, 3)","(5, 28, 2)"
